a,seed,w2_lo,w2_hi,evals,note
1.3,860100,4.5,4.50625,10,
1.3,860101,5.525,5.53125,11,
1.3,860102,5.6375,5.64375,12,
1.3,860103,5.275,5.28125,9,
1.3,860104,4.65,4.65625,9,
1.3,860105,5.79375,5.8,14,
1.3,860106,5.06875,5.075,7,
1.3,860107,5.79375,5.8,14,
1.3,860108,4.63125,4.6375,9,
1.3,860109,4.95625,4.9625,6,
1.3,860110,5.08125,5.0875,7,
1.3,860111,4.525,4.53125,10,
1.3,860112,5.775,5.78125,14,
1.3,860113,5.25,5.25625,8,
1.3,860114,5.38125,5.3875,10,
1.3,860115,4.75625,4.7625,7,
1.3,860116,5.1125,5.11875,7,
1.3,860117,5.26875,5.275,9,
1.3,860118,5.05,5.05625,6,
1.3,860119,5.10625,5.1125,7,
1.3,860120,5.475,5.48125,11,
1.3,860121,4.625,4.63125,9,
1.3,860122,4.80625,4.8125,7,
1.3,860123,5.49375,5.5,11,
1.3,860124,4.81875,4.825,7,
1.3,860125,4.85625,4.8625,6,
1.3,860126,5.075,5.08125,7,
1.3,860127,5.2125,5.21875,8,
1.3,860128,5.3375,5.34375,9,
1.3,860129,5.1125,5.11875,7,
1.3,860130,5.78125,5.7875,14,
1.3,860131,5.54375,5.55,11,
1.3,860132,4.75,4.75625,8,
1.3,860133,5.54375,5.55,11,
1.3,860134,5.1125,5.11875,7,
1.3,860135,5.20625,5.2125,8,
1.3,860136,4.7625,4.76875,7,
1.3,860137,5.6,5.60625,12,
1.3,860138,5.56875,5.575,12,
1.3,860139,5.85,5.85625,14,
1.5,860100,2.3,2.30625,8,
1.5,860101,2.8125,2.81875,8,
1.5,860102,2.875,2.88125,9,
1.5,860103,2.6875,2.69375,7,
1.5,860104,2.36875,2.375,7,
1.5,860105,2.9625,2.96875,10,
1.5,860106,2.5875,2.59375,6,
1.5,860107,2.94375,2.95,10,
1.5,860108,2.36875,2.375,7,
1.5,860109,2.525,2.53125,6,
1.5,860110,2.59375,2.6,6,
1.5,860111,2.325,2.33125,8,
1.5,860112,2.95625,2.9625,10,
1.5,860113,2.68125,2.6875,7,
1.5,860114,2.75,2.75625,8,
1.5,860115,2.44375,2.45,6,
1.5,860116,2.6125,2.61875,6,
1.5,860117,2.7,2.70625,7,
1.5,860118,2.58125,2.5875,6,
1.5,860119,2.60625,2.6125,6,
1.5,860120,2.7875,2.79375,8,
1.5,860121,2.3625,2.36875,7,
1.5,860122,2.45625,2.4625,6,
1.5,860123,2.8125,2.81875,8,
1.5,860124,2.44375,2.45,6,
1.5,860125,2.48125,2.4875,6,
1.5,860126,2.6,2.60625,6,
1.5,860127,2.65,2.65625,7,
1.5,860128,2.725,2.73125,7,
1.5,860129,2.60625,2.6125,6,
1.5,860130,2.9625,2.96875,10,
1.5,860131,2.83125,2.8375,9,
1.5,860132,2.425,2.43125,7,
1.5,860133,2.83125,2.8375,9,
1.5,860134,2.6125,2.61875,6,
1.5,860135,2.6625,2.66875,7,
1.5,860136,2.43125,2.4375,6,
1.5,860137,2.84375,2.85,9,
1.5,860138,2.85,2.85625,9,
1.5,860139,3.0,3.00625,10,
