a,seed,w2_lo,w2_hi,evals,note
1.3,860000,6.05625,6.0625,17,
1.3,860001,5.28125,5.2875,9,
1.3,860002,5.36875,5.375,10,
1.3,860003,6.14375,6.15,17,
1.3,860004,5.65625,5.6625,13,
1.3,860005,5.64375,5.65,12,
1.3,860006,5.83125,5.8375,14,
1.3,860007,5.06875,5.075,7,
1.3,860008,5.2625,5.26875,9,
1.3,860009,5.5,5.50625,11,
1.3,860010,4.68125,4.6875,8,
1.3,860011,4.61875,4.625,9,
1.3,860012,4.9625,4.96875,6,
1.3,860013,6.04375,6.05,16,
1.3,860014,5.13125,5.1375,7,
1.3,860015,4.58125,4.5875,9,
1.3,860016,6.1375,6.14375,17,
1.3,860017,5.275,5.28125,9,
1.3,860018,4.875,4.88125,6,
1.3,860019,5.325,5.33125,9,
1.3,860020,5.31875,5.325,9,
1.3,860021,6.2125,6.21875,18,
1.3,860022,5.51875,5.525,11,
1.3,860023,5.24375,5.25,8,
1.3,860024,5.15625,5.1625,8,
1.3,860025,5.7,5.70625,13,
1.3,860026,5.1,5.10625,7,
1.3,860027,5.725,5.73125,13,
1.3,860028,5.08125,5.0875,7,
1.3,860029,5.48125,5.4875,11,
1.3,860030,4.9,4.90625,6,
1.3,860031,5.83125,5.8375,14,
1.3,860032,5.4,5.40625,10,
1.3,860033,4.75625,4.7625,7,
1.3,860034,5.29375,5.3,9,
1.3,860035,4.7875,4.79375,7,
1.3,860036,5.225,5.23125,8,
1.3,860037,5.5375,5.54375,11,
1.3,860038,5.29375,5.3,9,
1.3,860039,5.375,5.38125,10,
1.5,860000,3.0875,3.09375,11,
1.5,860001,2.70625,2.7125,7,
1.5,860002,2.7625,2.76875,8,
1.5,860003,3.13125,3.1375,12,
1.5,860004,2.9,2.90625,9,
1.5,860005,2.875,2.88125,9,
1.5,860006,2.96875,2.975,10,
1.5,860007,2.5875,2.59375,6,
1.5,860008,2.675,2.68125,7,
1.5,860009,2.80625,2.8125,8,
1.5,860010,2.38125,2.3875,7,
1.5,860011,2.35625,2.3625,7,
1.5,860012,2.5375,2.54375,6,
1.5,860013,3.0875,3.09375,11,
1.5,860014,2.61875,2.625,6,
1.5,860015,2.33125,2.3375,7,
1.5,860016,3.11875,3.125,11,
1.5,860017,2.6875,2.69375,7,
1.5,860018,2.55625,2.5625,6,
1.5,860019,2.725,2.73125,7,
1.5,860020,2.7375,2.74375,8,
1.5,860021,3.20625,3.2125,12,
1.5,860022,2.825,2.83125,8,
1.5,860023,2.675,2.68125,7,
1.5,860024,2.625,2.63125,6,
1.5,860025,2.90625,2.9125,9,
1.5,860026,2.6125,2.61875,6,
1.5,860027,2.91875,2.925,9,
1.5,860028,2.5875,2.59375,6,
1.5,860029,2.7875,2.79375,8,
1.5,860030,2.50625,2.5125,6,
1.5,860031,2.975,2.98125,10,
1.5,860032,2.75,2.75625,8,
1.5,860033,2.425,2.43125,7,
1.5,860034,2.7,2.70625,7,
1.5,860035,2.44375,2.45,6,
1.5,860036,2.66875,2.675,7,
1.5,860037,2.83125,2.8375,9,
1.5,860038,2.69375,2.7,7,
1.5,860039,2.75625,2.7625,8,
